_id,club
6137d429dbfe2f47acea0a3d,611bf1f6fe16ff48a850e300
6137d429dbfe2f47acea0a46,611bf1f6fe16ff48a850e308
6137d429dbfe2f47acea0a47,611bf1f6fe16ff48a850e2ff
6137d429dbfe2f47acea0a49,611bf1f6fe16ff48a850e2d1
6137d429dbfe2f47acea0a4a,611bf1f6fe16ff48a850e302
6137d429dbfe2f47acea0a50,611bf1f6fe16ff48a850e2c5
6137d429dbfe2f47acea0a5c,604e56756587330017697251
6137d429dbfe2f47acea0a66,611bf1f6fe16ff48a850e2f7
6137d429dbfe2f47acea0a69,6115315f63870a0017cd4eae
6137d429dbfe2f47acea0a74,61d895dc998bfb00186e168a
6137d429dbfe2f47acea0a86,611bf1f6fe16ff48a850e2ac
6137d429dbfe2f47acea0a89,611bf1f6fe16ff48a850e308
6137d429dbfe2f47acea0a8d,611bf1f6fe16ff48a850e2cd
6137d429dbfe2f47acea0a91,611bf1f6fe16ff48a850e2f6
6137d429dbfe2f47acea0a99,611bf1f6fe16ff48a850e302
6137d429dbfe2f47acea0ab2,611bf1f6fe16ff48a850e317
6137d429dbfe2f47acea0aba,609448fd74358300175c4a8c
6137d429dbfe2f47acea0abb,611bf1f6fe16ff48a850e2cd
6137d429dbfe2f47acea0abc,611bf1f6fe16ff48a850e2e0
6137d429dbfe2f47acea0ac3,611bf1f6fe16ff48a850e2d2
6137d429dbfe2f47acea0ac6,611bf1f6fe16ff48a850e2c6
6137d429dbfe2f47acea0ad1,611bf1f6fe16ff48a850e2c6
6137d429dbfe2f47acea0ad7,611bf1f6fe16ff48a850e2be
6137d429dbfe2f47acea0add,611bf1f6fe16ff48a850e2aa
6137d429dbfe2f47acea0ae3,611bf1f6fe16ff48a850e2c5
6137d429dbfe2f47acea0af5,611bf1f6fe16ff48a850e2f2
6137d429dbfe2f47acea0b09,611bf1f6fe16ff48a850e2f9
6137d429dbfe2f47acea0b0b,611bf1f6fe16ff48a850e2f0
6137d429dbfe2f47acea0b0e,611bf1f6fe16ff48a850e308
6137d429dbfe2f47acea0b15,60620e620727700017d932d9
6137d429dbfe2f47acea0b31,611bf1f6fe16ff48a850e2a8
6137d429dbfe2f47acea0b3d,61d895dc998bfb00186e168a
6137d429dbfe2f47acea0b44,611bf1f6fe16ff48a850e2ff
6137d429dbfe2f47acea0b48,611bf1f6fe16ff48a850e313
6137d429dbfe2f47acea0b4b,611bf1f6fe16ff48a850e302
