__v,_id,author,club,country,createdAt,createdByUserWithRole,firstName,footed,height,isPublic,isSeededFromPlaymakerDb,lastName,lnpID,lnpProfileURL,minut90ProfileURL,position,transfermarktProfileURL,updatedAt,weight,yearOfBirth
,,,611bf1f6fe16ff48a850e2fa,ES,,,,,178,FAŁSZ,PRAWDA,Davo,,,,F/W,https://www.transfermarkt.pl/davo/profil/spieler/522190,,,1994
,,,611bf1f6fe16ff48a850e2fa,SK,,,Milan,R,176,FAŁSZ,PRAWDA,Kvocera,,,,F/W,https://www.transfermarkt.pl/milan-kvocera/profil/spieler/464800,,,1998
,,,611bf1f6fe16ff48a850e2fd,IS,,,Daníel,L,185,FAŁSZ,PRAWDA,Grétarsson,,,,CB,https://www.transfermarkt.pl/daniel-leo-gretarsson/profil/spieler/200747,,,1995
,,,611bf1f6fe16ff48a850e2fd,DK,,,Patrick,R,178,FAŁSZ,PRAWDA,Olsen,,,,CM,https://www.transfermarkt.pl/patrick-olsen/profil/spieler/135217,,,1994
,,,611bf1f6fe16ff48a850e2fd,DE,,,Dennis,L,180,FAŁSZ,PRAWDA,Jastrzembski,,,,F/W,https://www.transfermarkt.pl/dennis-jastrzembski/profil/spieler/358870,,,2000
,,,611bf1f6fe16ff48a850e2fd,ES,,,Matías,R,172,FAŁSZ,PRAWDA,Nahuel,,,,F/W,https://www.transfermarkt.pl/matias-nahuel/profil/spieler/263843,,,1996
,,,611bf1f6fe16ff48a850e2fd,DE,,,John,L,170,FAŁSZ,PRAWDA,Yeboah,,,,F/W,https://www.transfermarkt.pl/john-yeboah/profil/spieler/439914,,,2000
,,,611bf1f6fe16ff48a850e300,DE,,,Kevin,R,185,FAŁSZ,PRAWDA,Broll,,,,GK,https://www.transfermarkt.pl/kevin-broll/profil/spieler/161075,,,1995
,,,611bf1f6fe16ff48a850e300,FI,,,Richard,L,185,FAŁSZ,PRAWDA,Jensen,,,,CB,https://www.transfermarkt.pl/richard-jensen/profil/spieler/214078,,,1996
,,,611bf1f6fe16ff48a850e300,DE,,,Jonatan,R,184,FAŁSZ,PRAWDA,Kotzke,,,,CB,https://www.transfermarkt.pl/jonatan-kotzke/profil/spieler/90330,,,1990
,,,611bf1f6fe16ff48a850e300,PL,,,Pawel,R,184,FAŁSZ,PRAWDA,Olkowski,,,,RB,https://www.transfermarkt.pl/pawel-olkowski/profil/spieler/117469,,,1990
,,,611bf1f6fe16ff48a850e300,ES,,,Dani,both,168,FAŁSZ,PRAWDA,Pacheco,,,,F/W,https://www.transfermarkt.pl/dani-pacheco/profil/spieler/28285,,,1991
,,,611bf1f6fe16ff48a850e300,PL,,,Krzysztof,R,,FAŁSZ,PRAWDA,Kolanko,,,,F/W,https://www.transfermarkt.pl/krzysztof-kolanko/profil/spieler/991460,,,2006
,,,611bf1f6fe16ff48a850e2f7,PL,,,Milosz,R,191,FAŁSZ,PRAWDA,Kurzydlowski,,,,CB,https://www.transfermarkt.pl/milosz-kurzydlowski/profil/spieler/917229,,,2005
,,,611bf1f6fe16ff48a850e2f7,PT,,,,L,187,FAŁSZ,PRAWDA,Nené,,,,DM,https://www.transfermarkt.pl/nene/profil/spieler/301824,,,1995
,,,611bf1f6fe16ff48a850e2f7,ES,,,Juan,L,184,FAŁSZ,PRAWDA,Cámara,,,,F/W,https://www.transfermarkt.pl/juan-camara/profil/spieler/162039,,,1994
,,,611bf1f6fe16ff48a850e2f7,LT,,,Fedor,both,183,FAŁSZ,PRAWDA,Černych,,,,F/W,https://www.transfermarkt.pl/fedor-%C4%8Cernych/profil/spieler/140540,,,1991
,,,611bf1f6fe16ff48a850e2f7,ES,,,Marc,R,186,FAŁSZ,PRAWDA,Gual,,,,F,https://www.transfermarkt.pl/marc-gual/profil/spieler/376486,,,1996
,,,611bf1f6fe16ff48a850e302,PL,,,Jaroslaw,L,192,FAŁSZ,PRAWDA,Jach,,,,CB,https://www.transfermarkt.pl/jaroslaw-jach/profil/spieler/327755,,,1994
,,,611bf1f6fe16ff48a850e302,GE,,,Guram,L,174,FAŁSZ,PRAWDA,Giorbelidze,,,,LB,https://www.transfermarkt.pl/guram-giorbelidze/profil/spieler/330277,,,1996
,,,611bf1f6fe16ff48a850e302,PL,,,Lukasz,R,181,FAŁSZ,PRAWDA,Lakomy,,,,DM,https://www.transfermarkt.pl/lukasz-lakomy/profil/spieler/401598,,,2001
,,,611bf1f6fe16ff48a850e302,GE,,,Tornike,L,171,FAŁSZ,PRAWDA,Gaprindashvili,,,,F/W,https://www.transfermarkt.pl/tornike-gaprindashvili/profil/spieler/319723,,,1997
,,,611bf1f6fe16ff48a850e302,CZ,,,Martin,R,189,FAŁSZ,PRAWDA,Dolezal,,,,F,https://www.transfermarkt.pl/martin-dolezal/profil/spieler/82026,,,1990
,,,611bf1f6fe16ff48a850e302,SN,,,Cheikhou,R,180,FAŁSZ,PRAWDA,Dieng,,,,F,https://www.transfermarkt.pl/cheikhou-dieng/profil/spieler/225536,,,1993
,,,611bf1f6fe16ff48a850e304,CH,,,Levent,R,186,FAŁSZ,PRAWDA,Gülen,,,,CB,https://www.transfermarkt.pl/levent-gulen/profil/spieler/147045,,,1994
,,,611bf1f6fe16ff48a850e304,DK,,,Jens,both,192,FAŁSZ,PRAWDA,Gammelby,,,,RB,https://www.transfermarkt.pl/jens-martin-gammelby/profil/spieler/265040,,,1995
,,,611bf1f6fe16ff48a850e304,PL,,,Michael,both,183,FAŁSZ,PRAWDA,Kostka,,,,RB,https://www.transfermarkt.pl/michael-kostka/profil/spieler/554285,,,2003
,,,611bf1f6fe16ff48a850e304,AR,,,Jerónimo,R,173,FAŁSZ,PRAWDA,Cacciabue,,,,CM,https://www.transfermarkt.pl/jeronimo-cacciabue/profil/spieler/563819,,,1998
,,,611bf1f6fe16ff48a850e304,NL,,,Luciano,R,175,FAŁSZ,PRAWDA,Narsingh,,,,F/W,https://www.transfermarkt.pl/luciano-narsingh/profil/spieler/72462,,,1990
,,,611bf1f6fe16ff48a850e304,CL,,,Ángelo,R,175,FAŁSZ,PRAWDA,Henríquez,,,,F,https://www.transfermarkt.pl/angelo-henriquez/profil/spieler/189740,,,1994
,,,611bf1f6fe16ff48a850e304,ES,,,Koldo,R,187,FAŁSZ,PRAWDA,Obieta,,,,F,https://www.transfermarkt.pl/koldo-obieta/profil/spieler/445584,,,1993
,,,611bf1f6fe16ff48a850e2f4,PL,,,Jakub,R,196,FAŁSZ,PRAWDA,Ojrzynski,,,,GK,https://www.transfermarkt.pl/jakub-ojrzynski/profil/spieler/540630,,,2003
,,,611bf1f6fe16ff48a850e2f4,PT,,,Pedro,R,190,FAŁSZ,PRAWDA,Justiniano,,,,CB,https://www.transfermarkt.pl/pedro-justiniano/profil/spieler/357988,,,2000
,,,611bf1f6fe16ff48a850e2f4,PL,,,Milosz,,,FAŁSZ,PRAWDA,Zurawski,,,,CM,https://www.transfermarkt.pl/milosz-zurawski/profil/spieler/1017307,,,2006
,,,611bf1f6fe16ff48a850e2f4,BR,,,,R,184,FAŁSZ,PRAWDA,Luizão,,,,DM,https://www.transfermarkt.pl/luizao/profil/spieler/518723,,,1998
,,,611bf1f6fe16ff48a850e2f4,PL,,,Daniel,R,180,FAŁSZ,PRAWDA,Lukasik,,,,DM,https://www.transfermarkt.pl/daniel-lukasik/profil/spieler/67655,,,1991
,,,611bf1f6fe16ff48a850e2f4,CH,,,Roberto,L,180,FAŁSZ,PRAWDA,Alves,,,,CAM,https://www.transfermarkt.pl/roberto-alves/profil/spieler/249983,,,1997
,,,611bf1f6fe16ff48a850e2f4,BR,,,Jô,R,174,FAŁSZ,PRAWDA,Santos,,,,F/W,https://www.transfermarkt.pl/jo-santos/profil/spieler/237058,,,1991
,,,611bf1f6fe16ff48a850e2f4,CV,,,Lisandro,R,175,FAŁSZ,PRAWDA,Semedo,,,,F/W,https://www.transfermarkt.pl/lisandro-semedo/profil/spieler/225431,,,1996
,,,611bf1f6fe16ff48a850e2fe,GR,,,Dimitrios,R,191,FAŁSZ,PRAWDA,Stavropoulos,,,,CB,https://www.transfermarkt.pl/dimitrios-stavropoulos/profil/spieler/402970,,,1997
,,,611bf1f6fe16ff48a850e2fe,PL,,,Kajetan,,171,FAŁSZ,PRAWDA,Szmyt,,,,F/W,https://www.transfermarkt.pl/kajetan-szmyt/profil/spieler/658730,,,2002
,,,611bf1f6fe16ff48a850e2fe,TR,,,Enis,R,185,FAŁSZ,PRAWDA,Destan,,,,F,https://www.transfermarkt.pl/enis-destan/profil/spieler/699980,,,2002
,,,611bf1f6fe16ff48a850e305,PL,,,Rafal,,195,FAŁSZ,PRAWDA,Mamla,,,,GK,https://www.transfermarkt.pl/rafal-mamla/profil/spieler/727318,,,2003
,,,611bf1f6fe16ff48a850e305,UA,,,Kyrylo,R,186,FAŁSZ,PRAWDA,Petrov,,,,CB,https://www.transfermarkt.pl/kyrylo-petrov/profil/spieler/58427,,,1990
,,,611bf1f6fe16ff48a850e305,PL,,,Kacper,,175,FAŁSZ,PRAWDA,Bojanczyk,,,,CM,https://www.transfermarkt.pl/kacper-bojanczyk/profil/spieler/985983,,,2005
,,,611bf1f6fe16ff48a850e305,SK,,,Dalibor,,178,FAŁSZ,PRAWDA,Takac,,,,CM,https://www.transfermarkt.pl/dalibor-takac/profil/spieler/403915,,,1997
,,,611bf1f6fe16ff48a850e305,RO,,,Ronaldo,L,182,FAŁSZ,PRAWDA,Deaconu,,,,CAM,https://www.transfermarkt.pl/ronaldo-deaconu/profil/spieler/271281,,,1997
,,,611bf1f6fe16ff48a850e305,GE,,,Luka,L,178,FAŁSZ,PRAWDA,Zarandia,,,,F/W,https://www.transfermarkt.pl/luka-zarandia/profil/spieler/250073,,,1996
,,,611bf1f6fe16ff48a850e305,PL,,,Szymon,both,174,FAŁSZ,PRAWDA,Majewski,,,,F/W,https://www.transfermarkt.pl/szymon-majewski/profil/spieler/750933,,,2003
,,,611bf1f6fe16ff48a850e305,BY,,,Evgeniy,R,185,FAŁSZ,PRAWDA,Shikavka,,,,F,https://www.transfermarkt.pl/evgeniy-shikavka/profil/spieler/228087,,,1992
,,,611bf1f6fe16ff48a850e30f,SK,,,Henrich,R,195,FAŁSZ,PRAWDA,Ravas,,,,GK,https://www.transfermarkt.pl/henrich-ravas/profil/spieler/325896,,,1997
,,,611bf1f6fe16ff48a850e30f,UA,,,Vasyl,R,192,FAŁSZ,PRAWDA,Lytvynenko,,,,GK,https://www.transfermarkt.pl/vasyl-lytvynenko/profil/spieler/379972,,,1991
,,,611bf1f6fe16ff48a850e30f,AL,,,Juljan,R,186,FAŁSZ,PRAWDA,Shehu,,,,DM,https://www.transfermarkt.pl/juljan-shehu/profil/spieler/528021,,,1998
,,,611bf1f6fe16ff48a850e30f,ES,,,Jordi,R,190,FAŁSZ,PRAWDA,Sánchez,,,,F,https://www.transfermarkt.pl/jordi-sanchez/profil/spieler/291693,,,1994
,,,611bf1f6fe16ff48a850e2f2,LT,,,Dominykas,L,188,FAŁSZ,PRAWDA,Barauskas,,,,CB,https://www.transfermarkt.pl/dominykas-barauskas/profil/spieler/300143,,,1997
,,,611bf1f6fe16ff48a850e2f2,PL,,,David,,182,FAŁSZ,PRAWDA,Poreba,,,,CM,https://www.transfermarkt.pl/david-poreba/profil/spieler/986794,,,2002
,,,611bf1f6fe16ff48a850e2f2,PL,,,Krystian,R,179,FAŁSZ,PRAWDA,Kardys,,,,RM,https://www.transfermarkt.pl/krystian-kardys/profil/spieler/1031741,,,2002
,,,611bf1f6fe16ff48a850e2f2,PL,,,Przemyslaw,,175,FAŁSZ,PRAWDA,Maj,,,,RM,https://www.transfermarkt.pl/przemyslaw-maj/profil/spieler/844746,,,2003
,,,611bf1f6fe16ff48a850e2f2,EE,,,Bogdan,R,185,FAŁSZ,PRAWDA,Vastsuk,,,,CAM,https://www.transfermarkt.pl/bogdan-vastsuk/profil/spieler/166743,,,1995
,,,611bf1f6fe16ff48a850e2f2,NL,,,Saïd,R,188,FAŁSZ,PRAWDA,Hamulic,,,,F/W,https://www.transfermarkt.pl/said-hamulic/profil/spieler/652996,,,2000
,,,611bf1f6fe16ff48a850e2f1,BY,,,Pavel,R,194,FAŁSZ,PRAWDA,Pavlyuchenko,,,,GK,https://www.transfermarkt.pl/pavel-pavlyuchenko/profil/spieler/344548,,,1998
,,,611bf1f6fe16ff48a850e2f1,PL,,,Eric,both,189,FAŁSZ,PRAWDA,Topor,,,,GK,https://www.transfermarkt.pl/eric-topor/profil/spieler/1031510,,,2005
,,,611bf1f6fe16ff48a850e2f1,PL,,,Bartosz,L,,FAŁSZ,PRAWDA,Farbiszewski,,,,CB,https://www.transfermarkt.pl/bartosz-farbiszewski/profil/spieler/697875,,,2002
,,,611bf1f6fe16ff48a850e2f1,SK,,,Andrej,R,175,FAŁSZ,PRAWDA,Kadlec,,,,RB,https://www.transfermarkt.pl/andrej-kadlec/profil/spieler/260842,,,1996
,,,611bf1f6fe16ff48a850e2f1,UA,,,Andriy,R,173,FAŁSZ,PRAWDA,Dombrovskyi,,,,CM,https://www.transfermarkt.pl/andriy-dombrovskyi/profil/spieler/381273,,,1995
,,,611bf1f6fe16ff48a850e2f1,BA,,,Zvonimir,R,180,FAŁSZ,PRAWDA,Kozulj,,,,CM,https://www.transfermarkt.pl/zvonimir-kozulj/profil/spieler/194205,,,1993
,,,611bf1f6fe16ff48a850e2f1,UA,,,Artem,R,182,FAŁSZ,PRAWDA,Polyarus,,,,LM,https://www.transfermarkt.pl/artem-polyarus/profil/spieler/131444,,,1992
,,,611bf1f6fe16ff48a850e2f1,UA,,,Taras,both,182,FAŁSZ,PRAWDA,Zaviyskyi,,,,CAM,https://www.transfermarkt.pl/taras-zaviyskyi/profil/spieler/213984,,,1995
,,,611bf1f6fe16ff48a850e2f1,CZ,,,Tomas,R,194,FAŁSZ,PRAWDA,Poznar,,,,F,https://www.transfermarkt.pl/tomas-poznar/profil/spieler/81979,,,1988
,,,611bf1f6fe16ff48a850e301,SE,,,Joseph,R,187,FAŁSZ,PRAWDA,Colley,,,,CB,https://www.transfermarkt.pl/joseph-colley/profil/spieler/303455,,,1999
,,,611bf1f6fe16ff48a850e301,HR,,,Ivan,L,193,FAŁSZ,PRAWDA,Balta,,,,DM,https://www.transfermarkt.pl/ivan-borna-jelic-balta/profil/spieler/319143,,,1992
,,,611bf1f6fe16ff48a850e301,MK,,,Enis,L,188,FAŁSZ,PRAWDA,Fazlagic,,,,DM,https://www.transfermarkt.pl/enis-fazlagic/profil/spieler/404364,,,2000
,,,611bf1f6fe16ff48a850e301,AL,,,Vullnet,R,176,FAŁSZ,PRAWDA,Basha,,,,DM,https://www.transfermarkt.pl/vullnet-basha/profil/spieler/56324,,,1990
,,,611bf1f6fe16ff48a850e301,GN,,,Momo,R,178,FAŁSZ,PRAWDA,Cissé,,,,F/W,https://www.transfermarkt.pl/momo-cisse/profil/spieler/768384,,,2002
,,,611bf1f6fe16ff48a850e301,FR,,,Michaël,L,180,FAŁSZ,PRAWDA,Pereira,,,,F/W,https://www.transfermarkt.pl/michael-pereira/profil/spieler/147483,,,1987
,,,611bf1f6fe16ff48a850e301,ES,,,Luis,R,175,FAŁSZ,PRAWDA,Fernández,,,,F,https://www.transfermarkt.pl/luis-fernandez/profil/spieler/230212,,,1993
,,,611bf1f6fe16ff48a850e301,CZ,,,Zdenek,R,186,FAŁSZ,PRAWDA,Ondrasek,,,,F,https://www.transfermarkt.pl/zdenek-ondrasek/profil/spieler/72947,,,1988
,,,611bf1f6fe16ff48a850e312,BG,,,Ivaylo,L,190,FAŁSZ,PRAWDA,Markov,,,,CB,https://www.transfermarkt.pl/ivaylo-markov/profil/spieler/293611,,,1997
,,,611bf1f6fe16ff48a850e312,PL,,,Michal,,,FAŁSZ,PRAWDA,Willmann,,,,CM,https://www.transfermarkt.pl/michal-willmann/profil/spieler/1033045,,,2004
,,,611bf1f6fe16ff48a850e30d,PL,,,Przemyslaw,R,186,FAŁSZ,PRAWDA,Stolc,,,,CB,https://www.transfermarkt.pl/przemyslaw-stolc/profil/spieler/286330,,,1994
,,,611bf1f6fe16ff48a850e30d,PL,,,Kornel,,,FAŁSZ,PRAWDA,Przyborowski,,,,F/W,https://www.transfermarkt.pl/kornel-przyborowski/profil/spieler/705310,,,2002
,,,6048acc7e56ecc0017564864,PL,,,Maksymilian,,,FAŁSZ,PRAWDA,Paszkowski,,,,LM,https://www.transfermarkt.pl/maksymilian-paszkowski/profil/spieler/1001954,,,2004
