_id,lnpID
61d89544998bfb00186e1688,44052
61d8960f998bfb00186e168c,63655
61d89678998bfb00186e168d,1052
61d94b5865253500180774b4,47493
61d9f93865253500180774c2,48911
61d9f98965253500180774c3,47694
61d9f9af65253500180774c4,42319
61d9fa5065253500180774c6,47603
61d9fa8465253500180774c7,14293
61daeebb9d65d700189be37a,47509
61daeee69d65d700189be37b,44014
61daef109d65d700189be37c,4004
61daef8b9d65d700189be37e,45087
61daefb39d65d700189be37f,53021
61dc0d84a0d6c6001814f5ea,694
61dc0e42a0d6c6001814f5f2,44089
61dc1e69a0d6c6001814f5fe,633
61dc2087a0d6c6001814f602,31147
61ddcd28913a070018959fb3,43012
61ddcd6c913a070018959fb5,177233
61df15a1ac8a1c00186039d2,24835
61df15ddac8a1c00186039d3,63449
61df1687ac8a1c00186039d5,62944
61df171aac8a1c00186039d6,44311
61df6a68ac8a1c00186039f2,63996
61df6b4eac8a1c00186039f6,24649
61e02b40b8908d001869f4c9,64337
61e02dacb8908d001869f4cd,44321
61e09e24b8908d001869f4d6,64757
61e0b22fb8908d001869f4dc,44290
61e29f30add90c001876fabd,64751
61e96f0cc272c90018f1e811,3776
61e98397c272c90018f1e815,44018
61e983d4c272c90018f1e816,63253
61e9846fc272c90018f1e819,25055
61e98493c272c90018f1e81a,63199
61e984edc272c90018f1e81b,12752
61e986dcc272c90018f1e824,37793
61e9cf4fc272c90018f1e840,3141
61e9cfcbc272c90018f1e841,45448
61e9d069c272c90018f1e842,92657
61f9b775c2e5c2001832074c,670016
62050494b1281c00186996ce,30230
620505f3b1281c00186996d0,37821
620506d9b1281c00186996d1,43208
62050875b1281c00186996d3,37798
620509eeb1281c00186996d5,43099
62050d1fb1281c00186996d6,62843
62050f87b1281c00186996da,43101
62051095b1281c00186996dc,43089
620511f2b1281c00186996de,29533
620785733646b80018c47135,63033
620e419a99af0f0018ec491e,63120
620e427d99af0f0018ec4921,63069
620e458899af0f0018ec4923,63117
620e7aad99af0f0018ec4933,144075
620e93276d890a0018e1c5b0,40307
620e93756d890a0018e1c5b1,123496
620e93af6d890a0018e1c5b2,676898
620e93f76d890a0018e1c5b3,44025
620e94326d890a0018e1c5b4,144063
620f8b646d890a0018e1c5ca,5499
620f8c436d890a0018e1c5cb,37255
620f8cf26d890a0018e1c5cc,29921
